Overhead ╎ [+additional indent] Count File:Line; Function
=========================================================
  1╎1   @Base/channels.jl:452; take_buffered(c::Channel{StaticArraysCore.MMatrix{1, 1, Float64, 1}})
   ╎50  @Base/client.jl:522; _start()
   ╎ 50  @Base/client.jl:322; exec_options(opts::Base.JLOptions)
   ╎  50  @Base/client.jl:405; run_main_repl(interactive::Bool, quiet::Bool, banner::Bool, history_file::Bool, color_set::Bool)
   ╎   50  @Base/essentials.jl:813; invokelatest
   ╎    50  @Base/essentials.jl:816; #invokelatest#2
   ╎     50  @Base/client.jl:421; (::Base.var"#1017#1019"{Bool, Bool, Bool})(REPL::Module)
   ╎    ╎ 50  ...lialang/julia-release-1-dot-9/usr/share/julia/stdlib/v1.9/REPL/src/REPL.jl:365; run_repl(repl::REPL.AbstractREPL, consumer::Any)
   ╎    ╎  50  ...ialang/julia-release-1-dot-9/usr/share/julia/stdlib/v1.9/REPL/src/REPL.jl:379; run_repl(repl::REPL.AbstractREPL, consumer::Any; backend_on_current_task::Bool, backend::Any)
   ╎    ╎   50  ...ialang/julia-release-1-dot-9/usr/share/julia/stdlib/v1.9/REPL/src/REPL.jl:231; kwcall(::Any, ::typeof(REPL.start_repl_backend), backend::REPL.REPLBackend, consumer::Any)
   ╎    ╎    50  ...ialang/julia-release-1-dot-9/usr/share/julia/stdlib/v1.9/REPL/src/REPL.jl:234; start_repl_backend(backend::REPL.REPLBackend, consumer::Any; get_module::Function)
   ╎    ╎     50  ...alang/julia-release-1-dot-9/usr/share/julia/stdlib/v1.9/REPL/src/REPL.jl:249; repl_backend_loop(backend::REPL.REPLBackend, get_module::Function)
   ╎    ╎    ╎ 50  ...alang/julia-release-1-dot-9/usr/share/julia/stdlib/v1.9/REPL/src/REPL.jl:153; eval_user_input(ast::Any, backend::REPL.REPLBackend, mod::Module)
   ╎    ╎    ╎  50  @Base/boot.jl:370; eval
   ╎    ╎    ╎   50  @Base/client.jl:478; include(fname::String)
   ╎    ╎    ╎    50  @Base/loading.jl:1963; _include(mapexpr::Function, mod::Module, _path::String)
   ╎    ╎    ╎     50  @Base/loading.jl:1903; include_string(mapexpr::typeof(identity), mod::Module, code::String, filename::String)
   ╎    ╎    ╎    ╎ 50  @Base/boot.jl:370; eval
   ╎    ╎    ╎    ╎  50  @PMFRG/src/Solver.jl:78; kwcall(::NamedTuple{(:MainFile, :CheckpointDirectory, :method, :VertexCheckpoints, :CheckPointSteps), Tupl...
   ╎    ╎    ╎    ╎   50  @PMFRG/src/Solver.jl:78; SolveFRG(Par::OneLoopParams{Float64, Geometry{Rvec_2D, StructArrays.StructArray{sumElements, 2, NamedTuple...
   ╎    ╎    ╎    ╎    50  @PMFRG/src/Solver.jl:81; kwcall(::NamedTuple{(:MainFile, :CheckpointDirectory, :method, :VertexCheckpoints, :CheckPointSteps), Tup...
   ╎    ╎    ╎    ╎     37  @PMFRG/src/Solver.jl:166; launchPMFRG!(State::RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float64}, Matrix{Float64}, ...
   ╎    ╎    ╎    ╎    ╎ 37  @TimerOutputs/src/TimerOutput.jl:253; macro expansion
   ╎    ╎    ╎    ╎    ╎  37  @DiffEqBase/src/solve.jl:919; kwcall(::NamedTuple{(:reltol, :abstol, :save_everystep, :callback, :dt, :unstable_check), Tuple{Float64...
   ╎    ╎    ╎    ╎    ╎   37  @DiffEqBase/src/solve.jl:929; solve(prob::SciMLBase.ODEProblem{RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float64}, Ma...
   ╎    ╎    ╎    ╎    ╎    37  @DiffEqBase/src/solve.jl:992; solve_up
   ╎    ╎    ╎    ╎    ╎     37  @DiffEqBase/src/solve.jl:1006; solve_up(prob::SciMLBase.ODEProblem{RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float64...
   ╎    ╎    ╎    ╎    ╎    ╎ 37  @DiffEqBase/src/solve.jl:523; kwcall(::NamedTuple{(:reltol, :abstol, :save_everystep, :callback, :dt, :unstable_check), Tuple{Floa...
   ╎    ╎    ╎    ╎    ╎    ╎  37  @DiffEqBase/src/solve.jl:557; #solve_call#34
   ╎    ╎    ╎    ╎    ╎    ╎   37  @OrdinaryDiffEq/src/solve.jl:1; __solve
   ╎    ╎    ╎    ╎    ╎    ╎    37  @OrdinaryDiffEq/src/solve.jl:6; __solve(::SciMLBase.ODEProblem{RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float64}, Ma...
   ╎    ╎    ╎    ╎    ╎    ╎     7   @OrdinaryDiffEq/src/solve.jl:538; solve!(integrator::OrdinaryDiffEq.ODEIntegrator{DP5{typeof(OrdinaryDiffEq.trivial_limiter!), typeo...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎ 7   @OrdinaryDiffEq/src/perform_step/low_order_rk_perform_step.jl:919; perform_step!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎  2   @OrdinaryDiffEq/src/perform_step/low_order_rk_perform_step.jl:930; perform_step!(integrator::OrdinaryDiffEq.ODEIntegrator{DP5{typeof(OrdinaryDiffEq.trivial_limiter!...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎   2   @SciMLBase/src/scimlfunctions.jl:2407; ODEFunction
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    2   @PMFRG/src/Solver.jl:192; (::PMFRG.var"#DerivSubs!#99"{typeof(PMFRG.getDeriv!)})(Deriv::RecursiveArrayTools.ArrayPartition...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎     2   @PMFRG/src/Flowequations_Dense.jl:3; getDeriv!(Deriv::RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float64}, Matrix{Float...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 2   @TimerOutputs/src/TimerOutput.jl:253; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @PMFRG/src/Flowequations_Dense.jl:5; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @TimerOutputs/src/TimerOutput.jl:253; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @PMFRG/src/OneLoopTypes.jl:61; PMFRG.OneLoopWorkspace(Deriv::RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float6...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @PMFRG/src/VertexUtils.jl:74; setZero!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @LoopVectorization/src/broadcast.jl:759; vmaterialize!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @LoopVectorization/src/broadcast.jl:700; vmaterialize!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @LoopVectorization/src/broadcast.jl:717; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @LoopVectorization/src/reconstruct_loopset.jl:1107; _turbo_!(::Val{(true, 0, 0, 0, false, 8, 64, 32, 64, 0x0000000000000004, 1, true)}, ::Val...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @LoopVectorization/src/reconstruct_loopset.jl:1107; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @LoopVectorization/src/codegen/lower_threads.jl:579; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @LoopVectorization/src/reconstruct_loopset.jl:1107; _turbo_!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @LoopVectorization/src/reconstruct_loopset.jl:1107; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @VectorizationBase/src/vecunroll/memory.jl:1803; _vstore!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @VectorizationBase/src/vecunroll/memory.jl:1174; _vstore_unroll!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @VectorizationBase/src/vecunroll/memory.jl:872; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @VectorizationBase/src/strided_pointers/stridedpointers.jl:199; _vstore!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @VectorizationBase/src/llvm_intrin/memory_addr.jl:1482; __vstore!
  1╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @VectorizationBase/src/llvm_intrin/memory_addr.jl:1482; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @PMFRG/src/Flowequations_Dense.jl:10; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @TimerOutputs/src/TimerOutput.jl:253; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @PMFRG/src/Flowequations_Dense.jl:135; getXBubble!(Workspace::PMFRG.OneLoopWorkspace{Float64, Channel{StaticArraysCore.MMatrix{1, 1,...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @PMFRG/src/Flowequations_Dense.jl:154; getXBubblePartition!(Workspace::PMFRG.OneLoopWorkspace{Float64, Channel{StaticArraysCore.MMa...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @Base/task.jl:476; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @PMFRG/src/Flowequations_Dense.jl:156; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @Base/threadingconstructs.jl:408; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @Base/task.jl:5; Task
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @Base/task.jl:5; Task
  1╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @Base/boot.jl:447; _Task
   ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @OrdinaryDiffEq/src/perform_step/low_order_rk_perform_step.jl:933; perform_step!(integrator::OrdinaryDiffEq.ODEIntegrator{DP5{typeof(OrdinaryDiffEq.trivial_limiter!...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @SciMLBase/src/scimlfunctions.jl:2407; ODEFunction
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @PMFRG/src/Solver.jl:192; (::PMFRG.var"#DerivSubs!#99"{typeof(PMFRG.getDeriv!)})(Deriv::RecursiveArrayTools.ArrayPartition...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @PMFRG/src/Flowequations_Dense.jl:3; getDeriv!(Deriv::RecursiveArrayTools.ArrayPartition{Float64, Tuple{Vector{Float64}, Matrix{Float...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @TimerOutputs/src/TimerOutput.jl:253; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @PMFRG/src/Flowequations_Dense.jl:10; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @TimerOutputs/src/TimerOutput.jl:253; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @PMFRG/src/Flowequations_Dense.jl:135; getXBubble!(Workspace::PMFRG.OneLoopWorkspace{Float64, Channel{StaticArraysCore.MMatrix{1, 1,...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @PMFRG/src/Flowequations_Dense.jl:154; getXBubblePartition!(Workspace::PMFRG.OneLoopWorkspace{Float64, Channel{StaticArraysCore.MMa...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @Base/task.jl:476; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @PMFRG/src/Flowequations_Dense.jl:156; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @Base/threadingconstructs.jl:408; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @Base/task.jl:5; Task
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @Base/task.jl:5; Task
  1╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @Base/boot.jl:447; _Task
   ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @OrdinaryDiffEq/src/perform_step/low_order_rk_perform_step.jl:934; perform_step!(integrator::OrdinaryDiffEq.ODEIntegrator{DP5{typeof(OrdinaryDiffEq.trivial_limiter!...
   ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @FastBroadcast/src/FastBroadcast.jl:47; fast_materialize!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @Base/broadcast.jl:881; materialize!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @Base/broadcast.jl:884; materialize!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @RecursiveArrayTools/src/array_partition.jl:374; copyto!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @Base/ntuple.jl:69; ntuple
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @Base/ntuple.jl:72; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @RecursiveArrayTools/src/array_partition.jl:372; f
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @Base/broadcast.jl:926; copyto!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @Base/broadcast.jl:973; copyto!
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @Base/simdloop.jl:77; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @Base/broadcast.jl:974; macro expansion
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    1   @Base/broadcast.jl:610; getindex
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎     1   @Base/broadcast.jl:655; _broadcast_getindex
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎ 1   @Base/broadcast.jl:679; _getindex
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎  1   @Base/broadcast.jl:679; _getindex
   ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎    ╎   1   @Base/broadcast.jl:655; _broadcast_getindex
